Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
2010-02-14,2,1,2,N/A,1,2,1,2,1,2,1,N/A,2,N/A,1,2,N/A,N/A,1,2.6,2,1,2,N/A,1,2,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.4,2.5
2010-02-12,5,6,7,N/A,8,9,10,11,12,13,14,N/A,15,N/A,16,17,N/A,N/A,18,38,19,20,21,N/A,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2010-02-10,1.374,123.01,1.9558,N/A,26.108,7.4449,15.6466,0.8798,271.55,3.4528,0.7091,N/A,4.0663,N/A,4.118,10.0335,N/A,N/A,1.4658,N/A,8.111,7.323,41.58,N/A,2.0791,1.57,2.5411,1.4667,9.3847,10.6766,12871.34,63.884,1591.64,17.9438,4.7149,1.9827,63.8,1.9483,45.576,10.5998
2010-02-09,1.376,123.4,1.9558,N/A,26.099,7.4448,15.6466,0.8804,272,3.4528,0.7092,N/A,4.0775,N/A,4.128,10.1217,N/A,N/A,1.4672,N/A,8.152,7.3225,41.764,N/A,2.08,1.5729,2.5549,1.468,9.3935,10.6906,12878.09,64.197,1601.45,18.0645,4.7235,1.9877,63.836,1.9511,45.649,10.5992
2010-02-08,1.3675,122.07,1.9558,N/A,26.168,7.4442,15.6466,0.8761,273.9,3.4528,0.7088,N/A,4.104,N/A,4.137,10.1616,N/A,N/A,1.4659,N/A,8.1705,7.3225,41.706,N/A,2.0851,1.5765,2.5681,1.464,9.3355,10.6263,12861.76,64.013,1602.6,18.013,4.7063,1.9914,63.705,1.945,45.387,10.6097
2010-02-05,1.3691,122.49,1.9558,N/A,26.185,7.4449,15.6466,0.87325,274.1,3.4528,0.7087,N/A,4.0875,N/A,4.1435,10.2405,N/A,N/A,1.4682,N/A,8.2195,7.32,41.735,N/A,2.0785,1.5822,2.5758,1.4698,9.347,10.6395,12938.22,64.07,1601.26,18.0367,4.7152,1.9862,63.75,1.9475,45.468,10.5544
2010-01-06,1.4359,132.49,1.9571,N/A,26.338,7.4408,15.6465,0.8987,268.8,3.4529,0.7095,N/A,4.0943,N/A,4.1585,10.1868,N/A,N/A,1.4824,N/A,8.189,7.3358,42.8606,N/A,2.1195,1.5691,2.4915,1.4925,9.8036,11.1361,13274.9,65.7685,1626.01,18.3597,4.8548,1.9583,65.901,2.0039,47.614,10.5412
2010-01-05,1,2,3,N/A,4,5,6,7,8,9,10,N/A,11,N/A,12,13,N/A,N/A,14,34,15,16,17,N/A,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
2009-12-09,1.4768,129.91,1.9558,N/A,25.754,7.4417,15.6466,0.90463,273.68,3.4528,0.7076,N/A,4.1332,N/A,4.2454,10.4995,N/A,N/A,1.5113,N/A,8.474,7.2651,44.8737,N/A,2.216,1.6224,2.5947,1.5647,10.0829,11.446,13940.99,68.856,1716.41,19.0857,5.0189,2.0701,68.494,2.053,48.978,11.1627
2009-12-08,1.4774,130.75,1.9558,N/A,25.765,7.4416,15.6466,0.9069,273.42,3.4528,0.7077,N/A,4.107,N/A,4.2347,10.4835,N/A,N/A,1.5111,N/A,8.493,7.2619,45.0711,N/A,2.2248,1.6247,2.5788,1.5596,10.087,11.4504,13946.66,68.864,1708.2,18.8517,5.015,2.0786,67.997,2.0565,49.028,11.0836
2009-12-07,1.4787,133.17,1.9558,N/A,25.81,7.4417,15.6466,0.9092,270.36,3.4529,0.7079,N/A,4.096,N/A,4.2105,10.3158,N/A,N/A,1.5123,N/A,8.4385,7.284,44.142,N/A,2.2129,1.6276,2.567,1.5663,10.3223,11.4604,13951.53,69.65,1705.61,18.7801,5.0962,2.0871,68.131,2.0847,50.07,11.033
2009-11-26,1.5071,130.7,1.9558,N/A,26.188,7.4418,15.6466,0.911,269.77,3.4528,0.7089,N/A,4.1245,N/A,4.2785,10.4548,N/A,N/A,1.5098,N/A,8.5,7.324,43.831,N/A,2.2797,1.6436,2.6132,1.5882,10.2882,11.6802,14233.28,69.997,1742.13,19.42,5.1068,2.0987,70.548,2.0827,49.971,11.2328
2009-11-25,1.5083,132.1,1.9558,N/A,25.972,7.4413,15.6466,0.9031,267.38,3.4528,0.7089,N/A,4.1065,N/A,4.2614,10.357,N/A,N/A,1.5095,N/A,8.416,7.3135,43.45,N/A,2.2433,1.6236,2.6028,1.5787,10.2975,11.6893,14168.09,69.728,1739.67,19.3952,5.0852,2.0652,70.468,2.082,49.978,11.1222
2009-11-24,1.4969,132.57,1.9558,N/A,25.894,7.4413,15.6466,0.9031,267.65,3.4528,0.7091,N/A,4.1149,N/A,4.2665,10.3145,N/A,N/A,1.511,N/A,8.3765,7.3105,43.1625,N/A,2.241,1.6254,2.5791,1.5815,10.2229,11.601,14245.62,69.389,1731.62,19.3232,5.0715,2.0541,70.448,2.0738,49.746,11.1762
2009-11-23,1.4968,133.03,1.9558,N/A,25.844,7.4415,15.6466,0.90075,267.55,3.4528,0.7091,N/A,4.1209,N/A,4.2823,10.2985,N/A,N/A,1.5108,N/A,8.376,7.313,43.1274,N/A,2.2403,1.6212,2.5808,1.5846,10.2233,11.6003,14159.25,69.579,1728.98,19.4691,5.0524,2.0436,70.192,2.0722,49.72,11.217
2009-11-20,1.4815,132.76,1.9565,N/A,25.495,7.4409,15.6465,0.8991,269.68,3.4529,0.7083,N/A,4.1012,N/A,4.2845,10.222,N/A,N/A,1.5126,0,8.3475,7.325,43.082,N/A,2.2195,1.6023,2.5734,1.5874,10.1544,11.5283,14022.4,68.923,1716.91,19.3583,5.0092,1.994,69.742,2.0597,49.385,11.0968
2009-11-19,1.4863,132.05,1.9558,N/A,25.605,7.4411,15.6466,0.89385,266.96,3.4528,0.7081,N/A,4.1358,N/A,4.2785,10.2855,N/A,N/A,1.5131,N/A,8.392,7.3183,42.9468,N/A,2.2165,1.6193,2.5679,1.5776,10.1491,11.519,14208.07,69.336,1727,19.4319,5.04,2.0364,69.973,2.0664,49.35,11.218
2009-11-18,1.4957,133.39,1.9558,N/A,25.443,7.4408,15.6466,0.8895,265.55,3.4528,0.7085,N/A,4.0973,N/A,4.28,10.212,N/A,N/A,1.5112,N/A,8.352,7.317,42.9048,N/A,2.215,1.6026,2.5505,1.5657,10.2111,11.5917,14079.05,69.042,1724.89,19.3947,5.0345,1.9959,69.944,2.0692,49.594,11.1031
2009-11-17,1.4875,132.76,1.9558,N/A,25.495,7.4409,15.6466,0.88625,266,3.4528,0.7084,N/A,4.1012,N/A,4.2945,10.222,N/A,N/A,1.5111,N/A,8.3475,7.32,42.7995,N/A,2.205,1.6023,2.5489,1.5735,10.1544,11.5283,13987.41,68.923,1718.77,19.3583,5.0092,1.994,69.471,2.0632,49.385,11.097
2009-11-16,1.4965,134.02,1.9558,N/A,25.51,7.4408,15.6466,0.89485,267.43,3.4528,0.7083,N/A,4.096,N/A,4.299,10.1943,N/A,N/A,1.5093,N/A,8.337,7.3,42.9545,N/A,2.2092,1.6004,2.5662,1.5635,10.2166,11.5978,14060.07,69.123,1728.79,19.4395,5.0395,2.0102,69.704,2.0733,49.69,11.0517
2009-11-13,1.4868,133.51,1.9558,N/A,25.535,7.4407,15.6466,0.89125,268.8,3.4528,0.7085,N/A,4.111,N/A,4.3008,10.2375,N/A,N/A,1.5098,N/A,8.3645,7.3025,42.9278,N/A,2.203,1.6019,2.5876,1.5655,10.1493,11.5227,13935.33,68.77,1721.2,19.5859,5.0187,2.0172,69.389,2.0615,49.484,11.0692
2009-11-12,1.4922,134.32,1.9558,N/A,25.505,7.4412,15.6466,0.902,271.14,3.4528,0.7086,N/A,4.1411,N/A,4.2995,10.248,N/A,N/A,1.5106,N/A,8.3915,7.2955,43.007,N/A,2.2081,1.6062,2.5761,1.5702,10.1867,11.5646,14066.34,69.5969,1727.11,19.6791,5.0466,2.0287,69.935,2.0716,49.713,11.142
2009-11-11,1.5037,135.11,1.9558,N/A,25.379,7.4406,15.6466,0.9029,269.27,3.4528,0.7088,N/A,4.1221,N/A,4.297,10.2233,N/A,N/A,1.5104,N/A,8.36,7.2853,43.08,N/A,2.2098,1.6133,2.5639,1.5693,10.2641,11.6538,14126.32,69.636,1741.17,19.7323,5.0772,2.0278,70.256,2.0849,50.051,11.0399
